frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
108,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
109,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
110,0,22:6e:45:de:34:20,HT,20,2,1,56,74,72,448,49667
111,0,22:6e:45:de:34:20,HT,20,2,1,56,73,72,448,49666
112,0,22:6e:45:de:34:20,HT,20,2,1,56,74,72,448,49666
113,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49667
114,0,d4:3b:04:9a:7c:70,HT,20,2,2,56,71,71,896,49684
115,0,22:6e:45:de:34:20,HT,20,2,1,56,74,71,448,49667
116,0,22:6e:45:de:34:20,HT,20,2,1,56,74,71,448,49666
117,0,22:6e:45:de:34:20,HT,20,2,1,56,73,71,448,49666
118,0,d4:3b:04:9a:7c:70,HT,20,2,2,56,72,72,896,49685
119,0,22:6e:45:de:34:20,HT,20,2,1,56,73,74,448,49668
120,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49667
121,0,d4:3b:04:9a:7c:70,HT,20,2,2,56,69,71,896,49684
122,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
123,0,d4:3b:04:9a:7c:70,HT,20,2,2,56,71,72,896,49684
124,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49667
125,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49666
126,0,22:6e:45:de:34:20,HT,20,2,1,56,72,73,448,49666
127,0,22:6e:45:de:34:20,HT,20,2,1,56,73,72,448,49666
128,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,70,72,448,49671
129,0,22:6e:45:de:34:20,HT,20,2,2,56,74,73,896,49684
130,0,22:6e:45:de:34:20,HT,20,2,2,56,73,74,896,49684
131,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
132,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,68,448,49671
133,0,22:6e:45:de:34:20,HT,20,2,1,56,75,72,448,49667
134,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
135,0,22:6e:45:de:34:20,HT,20,2,1,56,73,74,448,49666
136,0,22:6e:45:de:34:20,HT,20,2,1,56,73,72,448,49666
137,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
138,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
139,0,22:6e:45:de:34:20,HT,20,2,2,56,75,74,896,49684
140,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
141,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
142,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49666
143,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
144,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
145,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
146,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
147,0,22:6e:45:de:34:20,HT,20,2,1,56,73,76,448,49667
148,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49666
149,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,71,448,49669
150,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,71,448,49669
151,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49666
152,0,22:6e:45:de:34:20,HT,20,2,1,56,74,72,448,49666
153,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49667
154,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
155,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
156,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
157,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49666
158,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49666
159,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,67,448,49671
160,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49666
161,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
162,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,81,78,896,49681
163,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49666
164,0,22:6e:45:de:34:20,HT,20,2,1,56,76,73,448,49666
165,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
166,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
167,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49667
168,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49667
169,0,22:6e:95:c4:6d:1f,HT,20,2,1,56,75,74,448,49668
170,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,82,78,896,49680
171,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,83,79,896,49680
172,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
